,question,question_id,question_type,answer
0,Who should get Nafarelin and why is it prescribed ?,0000833-1,indication,
1,How should Nafarelin be used and what is the dosage ?,0000833-2,usage,
2,Are there safety concerns or special precautions about Nafarelin ?,0000833-3,precautions,
3,What should I do if I forget a dose of Nafarelin ?,0000833-4,forget a dose,
4,What are the side effects or risks of Nafarelin ?,0000833-5,side effects,
5,What should I know about storage and disposal of Nafarelin ?,0000833-6,storage and disposal,
6,What to do in case of emergency or overdose of Nafarelin ?,0000833-7,emergency or overdose,
7,What other information should I know about Nafarelin ?,0000833-8,other information,
8,What are the brand names of Nafarelin ?,0000833-9,brand names,
0,What other information should I know about Nafcillin Sodium Injection ?,0000834-1,other information,
1,Are there safety concerns or special precautions about Nafcillin Sodium Injection ?,0000834-2,precautions,
2,What are the side effects or risks of Nafcillin Sodium Injection ?,0000834-4,side effects,
3,What should I know about storage and disposal of Nafcillin Sodium Injection ?,0000834-5,storage and disposal,
4,What to do in case of emergency or overdose of Nafcillin Sodium Injection ?,0000834-6,emergency or overdose,
5,What are the brand names of Nafcillin Sodium Injection ?,0000834-8,brand names,
0,Who should get Naftifine Hydrochloride Topical and why is it prescribed ?,0000835-1,indication,
1,How should Naftifine Hydrochloride Topical be used and what is the dosage ?,0000835-2,usage,
2,Are there safety concerns or special precautions about Naftifine Hydrochloride Topical ?,0000835-3,precautions,
3,What should I do if I forget a dose of Naftifine Hydrochloride Topical ?,0000835-4,forget a dose,
4,What are the side effects or risks of Naftifine Hydrochloride Topical ?,0000835-5,side effects,
5,What should I know about storage and disposal of Naftifine Hydrochloride Topical ?,0000835-6,storage and disposal,
6,What other information should I know about Naftifine Hydrochloride Topical ?,0000835-7,other information,
7,What are the brand names of Naftifine Hydrochloride Topical ?,0000835-8,brand names,
0,What other information should I know about Nalbuphine Injection ?,0000836-1,other information,
1,Are there safety concerns or special precautions about Nalbuphine Injection ?,0000836-2,precautions,
2,What are the side effects or risks of Nalbuphine Injection ?,0000836-4,side effects,
3,What should I know about storage and disposal of Nalbuphine Injection ?,0000836-5,storage and disposal,
4,What are the brand names of Nalbuphine Injection ?,0000836-7,brand names,
0,Who should get Naloxegol and why is it prescribed ?,0000837-1,indication,
1,How should Naloxegol be used and what is the dosage ?,0000837-2,usage,
2,Are there safety concerns or special precautions about Naloxegol ?,0000837-4,precautions,
3,What special dietary instructions should I follow with Naloxegol ?,0000837-5,dietary,
4,What should I do if I forget a dose of Naloxegol ?,0000837-6,forget a dose,
5,What are the side effects or risks of Naloxegol ?,0000837-7,side effects,
6,What should I know about storage and disposal of Naloxegol ?,0000837-8,storage and disposal,
7,What to do in case of emergency or overdose of Naloxegol ?,0000837-9,emergency or overdose,
8,What other information should I know about Naloxegol ?,0000837-10,other information,
9,What are the brand names of Naloxegol ?,0000837-11,brand names,
0,Who should get Naloxone Injection and why is it prescribed ?,0000838-1,indication,
1,How should Naloxone Injection be used and what is the dosage ?,0000838-2,usage,
2,Are there safety concerns or special precautions about Naloxone Injection ?,0000838-4,precautions,
3,What are the side effects or risks of Naloxone Injection ?,0000838-5,side effects,
4,What should I know about storage and disposal of Naloxone Injection ?,0000838-6,storage and disposal,
5,What other information should I know about Naloxone Injection ?,0000838-7,other information,
6,What are the brand names of Naloxone Injection ?,0000838-8,brand names,
0,Who should get Naloxone Nasal Spray and why is it prescribed ?,0000839-1,indication,
1,How should Naloxone Nasal Spray be used and what is the dosage ?,0000839-2,usage,
2,Are there safety concerns or special precautions about Naloxone Nasal Spray ?,0000839-4,precautions,
3,What are the side effects or risks of Naloxone Nasal Spray ?,0000839-5,side effects,
4,What should I know about storage and disposal of Naloxone Nasal Spray ?,0000839-6,storage and disposal,
5,What other information should I know about Naloxone Nasal Spray ?,0000839-7,other information,
6,What are the brand names of Naloxone Nasal Spray ?,0000839-8,brand names,
0,What important warning or information should I know about Naltrexone ?,0000840-1,important warning,
1,Who should get Naltrexone and why is it prescribed ?,0000840-2,indication,
2,How should Naltrexone be used and what is the dosage ?,0000840-3,usage,
3,Are there safety concerns or special precautions about Naltrexone ?,0000840-5,precautions,
4,What special dietary instructions should I follow with Naltrexone ?,0000840-6,dietary,
5,What should I do if I forget a dose of Naltrexone ?,0000840-7,forget a dose,
6,What are the side effects or risks of Naltrexone ?,0000840-8,side effects,
7,What should I know about storage and disposal of Naltrexone ?,0000840-9,storage and disposal,
8,What to do in case of emergency or overdose of Naltrexone ?,0000840-10,emergency or overdose,
9,What other information should I know about Naltrexone ?,0000840-11,other information,
10,What are the brand names of Naltrexone ?,0000840-12,brand names,
0,What important warning or information should I know about Naltrexone Injection ?,0000841-1,important warning,
1,Who should get Naltrexone Injection and why is it prescribed ?,0000841-2,indication,
2,How should Naltrexone Injection be used and what is the dosage ?,0000841-3,usage,
3,Are there safety concerns or special precautions about Naltrexone Injection ?,0000841-5,precautions,
4,What special dietary instructions should I follow with Naltrexone Injection ?,0000841-6,dietary,
5,What should I do if I forget a dose of Naltrexone Injection ?,0000841-7,forget a dose,
6,What are the side effects or risks of Naltrexone Injection ?,0000841-8,side effects,
7,What to do in case of emergency or overdose of Naltrexone Injection ?,0000841-9,emergency or overdose,
8,What other information should I know about Naltrexone Injection ?,0000841-10,other information,
9,What are the brand names of Naltrexone Injection ?,0000841-11,brand names,
0,Are there safety concerns or special precautions about Naproxen ?,0000842-1,precautions,
1,What important warning or information should I know about Naproxen ?,0000842-2,important warning,
2,Who should get Naproxen and why is it prescribed ?,0000842-3,indication,
3,How should Naproxen be used and what is the dosage ?,0000842-4,usage,
4,Are there safety concerns or special precautions about Naproxen ?,0000842-6,precautions,
5,What special dietary instructions should I follow with Naproxen ?,0000842-7,dietary,
6,What should I do if I forget a dose of Naproxen ?,0000842-8,forget a dose,
7,What are the side effects or risks of Naproxen ?,0000842-9,side effects,
8,What should I know about storage and disposal of Naproxen ?,0000842-10,storage and disposal,
9,What to do in case of emergency or overdose of Naproxen ?,0000842-11,emergency or overdose,
10,What other information should I know about Naproxen ?,0000842-12,other information,
11,What are the brand names of Naproxen ?,0000842-13,brand names,
12,What are the brand names of combination products of Naproxen ?,0000842-14,brand names of combination products,
0,Who should get Naratriptan and why is it prescribed ?,0000843-1,indication,
1,How should Naratriptan be used and what is the dosage ?,0000843-2,usage,
2,Are there safety concerns or special precautions about Naratriptan ?,0000843-4,precautions,
3,What are the side effects or risks of Naratriptan ?,0000843-5,side effects,
4,What should I know about storage and disposal of Naratriptan ?,0000843-6,storage and disposal,
5,What to do in case of emergency or overdose of Naratriptan ?,0000843-7,emergency or overdose,
6,What other information should I know about Naratriptan ?,0000843-8,other information,
7,What are the brand names of Naratriptan ?,0000843-9,brand names,
0,What important warning or information should I know about Natalizumab Injection ?,0000844-1,important warning,
1,Who should get Natalizumab Injection and why is it prescribed ?,0000844-2,indication,
2,How should Natalizumab Injection be used and what is the dosage ?,0000844-3,usage,
3,Are there safety concerns or special precautions about Natalizumab Injection ?,0000844-5,precautions,
4,What special dietary instructions should I follow with Natalizumab Injection ?,0000844-6,dietary,
5,What should I do if I forget a dose of Natalizumab Injection ?,0000844-7,forget a dose,
6,What are the side effects or risks of Natalizumab Injection ?,0000844-8,side effects,
7,What to do in case of emergency or overdose of Natalizumab Injection ?,0000844-9,emergency or overdose,
8,What other information should I know about Natalizumab Injection ?,0000844-10,other information,
9,What are the brand names of Natalizumab Injection ?,0000844-11,brand names,
0,Who should get Nateglinide Oral and why is it prescribed ?,0000845-1,indication,
1,How should Nateglinide Oral be used and what is the dosage ?,0000845-2,usage,
2,Are there safety concerns or special precautions about Nateglinide Oral ?,0000845-4,precautions,
3,What special dietary instructions should I follow with Nateglinide Oral ?,0000845-5,dietary,
4,What should I do if I forget a dose of Nateglinide Oral ?,0000845-6,forget a dose,
5,What are the side effects or risks of Nateglinide Oral ?,0000845-7,side effects,
6,What should I know about storage and disposal of Nateglinide Oral ?,0000845-8,storage and disposal,
7,What to do in case of emergency or overdose of Nateglinide Oral ?,0000845-9,emergency or overdose,
8,What other information should I know about Nateglinide Oral ?,0000845-10,other information,
9,What are the brand names of Nateglinide Oral ?,0000845-11,brand names,
0,Who should get Nebivolol and why is it prescribed ?,0000846-1,indication,
1,How should Nebivolol be used and what is the dosage ?,0000846-2,usage,
2,Are there safety concerns or special precautions about Nebivolol ?,0000846-4,precautions,
3,What special dietary instructions should I follow with Nebivolol ?,0000846-5,dietary,
4,What should I do if I forget a dose of Nebivolol ?,0000846-6,forget a dose,
5,What are the side effects or risks of Nebivolol ?,0000846-7,side effects,
6,What should I know about storage and disposal of Nebivolol ?,0000846-8,storage and disposal,
7,What to do in case of emergency or overdose of Nebivolol ?,0000846-9,emergency or overdose,
8,What other information should I know about Nebivolol ?,0000846-10,other information,
9,What are the brand names of Nebivolol ?,0000846-11,brand names,
0,What important warning or information should I know about Necitumumab Injection ?,0000847-1,important warning,
1,Who should get Necitumumab Injection and why is it prescribed ?,0000847-2,indication,
2,How should Necitumumab Injection be used and what is the dosage ?,0000847-3,usage,
3,Are there safety concerns or special precautions about Necitumumab Injection ?,0000847-5,precautions,
4,What special dietary instructions should I follow with Necitumumab Injection ?,0000847-6,dietary,
5,What are the side effects or risks of Necitumumab Injection ?,0000847-7,side effects,
6,What to do in case of emergency or overdose of Necitumumab Injection ?,0000847-8,emergency or overdose,
7,What other information should I know about Necitumumab Injection ?,0000847-9,other information,
8,What are the brand names of Necitumumab Injection ?,0000847-10,brand names,
0,Who should get Nedocromil Ophthalmic and why is it prescribed ?,0000848-1,indication,
1,How should Nedocromil Ophthalmic be used and what is the dosage ?,0000848-2,usage,
2,Are there safety concerns or special precautions about Nedocromil Ophthalmic ?,0000848-4,precautions,
3,What should I do if I forget a dose of Nedocromil Ophthalmic ?,0000848-5,forget a dose,
4,What are the side effects or risks of Nedocromil Ophthalmic ?,0000848-6,side effects,
5,What should I know about storage and disposal of Nedocromil Ophthalmic ?,0000848-7,storage and disposal,
6,What other information should I know about Nedocromil Ophthalmic ?,0000848-8,other information,
7,What are the brand names of Nedocromil Ophthalmic ?,0000848-9,brand names,
0,What important warning or information should I know about Nefazodone ?,0000849-1,important warning,
1,Who should get Nefazodone and why is it prescribed ?,0000849-2,indication,
2,How should Nefazodone be used and what is the dosage ?,0000849-3,usage,
3,Are there safety concerns or special precautions about Nefazodone ?,0000849-5,precautions,
4,What should I do if I forget a dose of Nefazodone ?,0000849-6,forget a dose,
5,What are the side effects or risks of Nefazodone ?,0000849-7,side effects,
6,What should I know about storage and disposal of Nefazodone ?,0000849-8,storage and disposal,
7,What to do in case of emergency or overdose of Nefazodone ?,0000849-9,emergency or overdose,
8,What other information should I know about Nefazodone ?,0000849-10,other information,
9,What are the brand names of Nefazodone ?,0000849-11,brand names,
0,What important warning or information should I know about Nelarabine Injection ?,0000850-1,important warning,
1,Who should get Nelarabine Injection and why is it prescribed ?,0000850-2,indication,
2,How should Nelarabine Injection be used and what is the dosage ?,0000850-3,usage,
3,Are there safety concerns or special precautions about Nelarabine Injection ?,0000850-5,precautions,
4,What special dietary instructions should I follow with Nelarabine Injection ?,0000850-6,dietary,
5,What should I do if I forget a dose of Nelarabine Injection ?,0000850-7,forget a dose,
6,What are the side effects or risks of Nelarabine Injection ?,0000850-8,side effects,
7,What to do in case of emergency or overdose of Nelarabine Injection ?,0000850-9,emergency or overdose,
8,What other information should I know about Nelarabine Injection ?,0000850-10,other information,
9,What are the brand names of Nelarabine Injection ?,0000850-11,brand names,
0,Who should get Nelfinavir and why is it prescribed ?,0000851-1,indication,
1,How should Nelfinavir be used and what is the dosage ?,0000851-2,usage,
2,Are there safety concerns or special precautions about Nelfinavir ?,0000851-4,precautions,
3,What special dietary instructions should I follow with Nelfinavir ?,0000851-5,dietary,
4,What should I do if I forget a dose of Nelfinavir ?,0000851-6,forget a dose,
5,What are the side effects or risks of Nelfinavir ?,0000851-7,side effects,
6,What should I know about storage and disposal of Nelfinavir ?,0000851-8,storage and disposal,
7,What to do in case of emergency or overdose of Nelfinavir ?,0000851-9,emergency or overdose,
8,What other information should I know about Nelfinavir ?,0000851-10,other information,
9,What are the brand names of Nelfinavir ?,0000851-11,brand names,
0,Who should get Neomycin Topical and why is it prescribed ?,0000852-1,indication,
1,How should Neomycin Topical be used and what is the dosage ?,0000852-2,usage,
2,Are there safety concerns or special precautions about Neomycin Topical ?,0000852-3,precautions,
3,What should I do if I forget a dose of Neomycin Topical ?,0000852-4,forget a dose,
4,What are the side effects or risks of Neomycin Topical ?,0000852-5,side effects,
5,What should I know about storage and disposal of Neomycin Topical ?,0000852-6,storage and disposal,
6,What other information should I know about Neomycin Topical ?,0000852-7,other information,
7,What are the brand names of Neomycin Topical ?,0000852-8,brand names,
8,What are the brand names of combination products of Neomycin Topical ?,0000852-9,brand names of combination products,
0,"Who should get Neomycin, Polymyxin, and Bacitracin Ophthalmic and why is it prescribed ?",0000853-1,indication,
1,"How should Neomycin, Polymyxin, and Bacitracin Ophthalmic be used and what is the dosage ?",0000853-2,usage,
2,"Are there safety concerns or special precautions about Neomycin, Polymyxin, and Bacitracin Ophthalmic ?",0000853-4,precautions,
3,"What special dietary instructions should I follow with Neomycin, Polymyxin, and Bacitracin Ophthalmic ?",0000853-5,dietary,
4,"What should I do if I forget a dose of Neomycin, Polymyxin, and Bacitracin Ophthalmic ?",0000853-6,forget a dose,
5,"What are the side effects or risks of Neomycin, Polymyxin, and Bacitracin Ophthalmic ?",0000853-7,side effects,
6,"What should I know about storage and disposal of Neomycin, Polymyxin, and Bacitracin Ophthalmic ?",0000853-8,storage and disposal,
7,"What other information should I know about Neomycin, Polymyxin, and Bacitracin Ophthalmic ?",0000853-9,other information,
8,"What are the brand names of combination products of Neomycin, Polymyxin, and Bacitracin Ophthalmic ?",0000853-10,brand names of combination products,
0,"Who should get Neomycin, Polymyxin, and Bacitracin Topical and why is it prescribed ?",0000854-1,indication,
1,"How should Neomycin, Polymyxin, and Bacitracin Topical be used and what is the dosage ?",0000854-2,usage,
2,"Are there safety concerns or special precautions about Neomycin, Polymyxin, and Bacitracin Topical ?",0000854-4,precautions,
3,"What special dietary instructions should I follow with Neomycin, Polymyxin, and Bacitracin Topical ?",0000854-5,dietary,
4,"What should I do if I forget a dose of Neomycin, Polymyxin, and Bacitracin Topical ?",0000854-6,forget a dose,
5,"What are the side effects or risks of Neomycin, Polymyxin, and Bacitracin Topical ?",0000854-7,side effects,
6,"What should I know about storage and disposal of Neomycin, Polymyxin, and Bacitracin Topical ?",0000854-8,storage and disposal,
7,"What other information should I know about Neomycin, Polymyxin, and Bacitracin Topical ?",0000854-9,other information,
8,"What are the brand names of combination products of Neomycin, Polymyxin, and Bacitracin Topical ?",0000854-10,brand names of combination products,
0,Who should get Nepafenac Ophthalmic and why is it prescribed ?,0000855-1,indication,
1,How should Nepafenac Ophthalmic be used and what is the dosage ?,0000855-2,usage,
2,Are there safety concerns or special precautions about Nepafenac Ophthalmic ?,0000855-4,precautions,
3,What special dietary instructions should I follow with Nepafenac Ophthalmic ?,0000855-5,dietary,
4,What should I do if I forget a dose of Nepafenac Ophthalmic ?,0000855-6,forget a dose,
5,What are the side effects or risks of Nepafenac Ophthalmic ?,0000855-7,side effects,
6,What should I know about storage and disposal of Nepafenac Ophthalmic ?,0000855-8,storage and disposal,
7,What other information should I know about Nepafenac Ophthalmic ?,0000855-9,other information,
8,What are the brand names of Nepafenac Ophthalmic ?,0000855-10,brand names,
0,Who should get Netupitant and Palonosetron and why is it prescribed ?,0000856-1,indication,
1,How should Netupitant and Palonosetron be used and what is the dosage ?,0000856-2,usage,
2,Are there safety concerns or special precautions about Netupitant and Palonosetron ?,0000856-4,precautions,
3,What special dietary instructions should I follow with Netupitant and Palonosetron ?,0000856-5,dietary,
4,What should I do if I forget a dose of Netupitant and Palonosetron ?,0000856-6,forget a dose,
5,What are the side effects or risks of Netupitant and Palonosetron ?,0000856-7,side effects,
6,What should I know about storage and disposal of Netupitant and Palonosetron ?,0000856-8,storage and disposal,
7,What other information should I know about Netupitant and Palonosetron ?,0000856-9,other information,
8,What are the brand names of Netupitant and Palonosetron ?,0000856-10,brand names,
0,What important warning or information should I know about Nevirapine ?,0000857-1,important warning,
1,Who should get Nevirapine and why is it prescribed ?,0000857-2,indication,
2,How should Nevirapine be used and what is the dosage ?,0000857-3,usage,
3,Are there safety concerns or special precautions about Nevirapine ?,0000857-5,precautions,
4,What special dietary instructions should I follow with Nevirapine ?,0000857-6,dietary,
5,What should I do if I forget a dose of Nevirapine ?,0000857-7,forget a dose,
6,What are the side effects or risks of Nevirapine ?,0000857-8,side effects,
7,What should I know about storage and disposal of Nevirapine ?,0000857-9,storage and disposal,
8,What to do in case of emergency or overdose of Nevirapine ?,0000857-10,emergency or overdose,
9,What other information should I know about Nevirapine ?,0000857-11,other information,
10,What are the brand names of Nevirapine ?,0000857-12,brand names,
0,Who should get Niacin and why is it prescribed ?,0000858-1,indication,
1,How should Niacin be used and what is the dosage ?,0000858-2,usage,
2,Are there safety concerns or special precautions about Niacin ?,0000858-4,precautions,
3,What special dietary instructions should I follow with Niacin ?,0000858-5,dietary,
4,What should I do if I forget a dose of Niacin ?,0000858-6,forget a dose,
5,What are the side effects or risks of Niacin ?,0000858-7,side effects,
6,What should I know about storage and disposal of Niacin ?,0000858-8,storage and disposal,
7,What to do in case of emergency or overdose of Niacin ?,0000858-9,emergency or overdose,
8,What other information should I know about Niacin ?,0000858-10,other information,
9,What are the brand names of Niacin ?,0000858-11,brand names,
10,What are the brand names of combination products of Niacin ?,0000858-12,brand names of combination products,
0,Who should get Nicardipine and why is it prescribed ?,0000859-1,indication,
1,How should Nicardipine be used and what is the dosage ?,0000859-2,usage,
2,Are there safety concerns or special precautions about Nicardipine ?,0000859-4,precautions,
3,What special dietary instructions should I follow with Nicardipine ?,0000859-5,dietary,
4,What should I do if I forget a dose of Nicardipine ?,0000859-6,forget a dose,
5,What are the side effects or risks of Nicardipine ?,0000859-7,side effects,
6,What should I know about storage and disposal of Nicardipine ?,0000859-8,storage and disposal,
7,What to do in case of emergency or overdose of Nicardipine ?,0000859-9,emergency or overdose,
8,What other information should I know about Nicardipine ?,0000859-10,other information,
9,What are the brand names of Nicardipine ?,0000859-11,brand names,
0,Who should get Nicotine Gum and why is it prescribed ?,0000860-1,indication,
1,How should Nicotine Gum be used and what is the dosage ?,0000860-2,usage,
2,Are there safety concerns or special precautions about Nicotine Gum ?,0000860-3,precautions,
3,What special dietary instructions should I follow with Nicotine Gum ?,0000860-4,dietary,
4,What should I do if I forget a dose of Nicotine Gum ?,0000860-5,forget a dose,
5,What are the side effects or risks of Nicotine Gum ?,0000860-6,side effects,
6,What should I know about storage and disposal of Nicotine Gum ?,0000860-7,storage and disposal,
7,What to do in case of emergency or overdose of Nicotine Gum ?,0000860-8,emergency or overdose,
8,What other information should I know about Nicotine Gum ?,0000860-9,other information,
9,What are the brand names of Nicotine Gum ?,0000860-10,brand names,
0,Who should get Nicotine Lozenges and why is it prescribed ?,0000861-1,indication,
1,How should Nicotine Lozenges be used and what is the dosage ?,0000861-2,usage,
2,Are there safety concerns or special precautions about Nicotine Lozenges ?,0000861-4,precautions,
3,What special dietary instructions should I follow with Nicotine Lozenges ?,0000861-5,dietary,
4,What are the side effects or risks of Nicotine Lozenges ?,0000861-6,side effects,
5,What should I know about storage and disposal of Nicotine Lozenges ?,0000861-7,storage and disposal,
6,What to do in case of emergency or overdose of Nicotine Lozenges ?,0000861-8,emergency or overdose,
7,What other information should I know about Nicotine Lozenges ?,0000861-9,other information,
8,What are the brand names of Nicotine Lozenges ?,0000861-10,brand names,
0,Who should get Nicotine Nasal Spray and why is it prescribed ?,0000862-1,indication,
1,How should Nicotine Nasal Spray be used and what is the dosage ?,0000862-2,usage,
2,Are there safety concerns or special precautions about Nicotine Nasal Spray ?,0000862-4,precautions,
3,What special dietary instructions should I follow with Nicotine Nasal Spray ?,0000862-5,dietary,
4,What are the side effects or risks of Nicotine Nasal Spray ?,0000862-6,side effects,
5,What should I know about storage and disposal of Nicotine Nasal Spray ?,0000862-7,storage and disposal,
6,What to do in case of emergency or overdose of Nicotine Nasal Spray ?,0000862-8,emergency or overdose,
7,What other information should I know about Nicotine Nasal Spray ?,0000862-9,other information,
8,What are the brand names of Nicotine Nasal Spray ?,0000862-10,brand names,
0,Who should get Nicotine Oral Inhalation and why is it prescribed ?,0000863-1,indication,
1,How should Nicotine Oral Inhalation be used and what is the dosage ?,0000863-2,usage,
2,Are there safety concerns or special precautions about Nicotine Oral Inhalation ?,0000863-4,precautions,
3,What special dietary instructions should I follow with Nicotine Oral Inhalation ?,0000863-5,dietary,
4,What are the side effects or risks of Nicotine Oral Inhalation ?,0000863-6,side effects,
5,What should I know about storage and disposal of Nicotine Oral Inhalation ?,0000863-7,storage and disposal,
6,What to do in case of emergency or overdose of Nicotine Oral Inhalation ?,0000863-8,emergency or overdose,
7,What other information should I know about Nicotine Oral Inhalation ?,0000863-9,other information,
8,What are the brand names of Nicotine Oral Inhalation ?,0000863-10,brand names,
0,Who should get Nicotine Transdermal Patch and why is it prescribed ?,0000864-1,indication,
1,How should Nicotine Transdermal Patch be used and what is the dosage ?,0000864-2,usage,
2,Are there safety concerns or special precautions about Nicotine Transdermal Patch ?,0000864-3,precautions,
3,What should I do if I forget a dose of Nicotine Transdermal Patch ?,0000864-4,forget a dose,
4,What are the side effects or risks of Nicotine Transdermal Patch ?,0000864-5,side effects,
5,What should I know about storage and disposal of Nicotine Transdermal Patch ?,0000864-6,storage and disposal,
6,What to do in case of emergency or overdose of Nicotine Transdermal Patch ?,0000864-7,emergency or overdose,
7,What other information should I know about Nicotine Transdermal Patch ?,0000864-8,other information,
8,What are the brand names of Nicotine Transdermal Patch ?,0000864-9,brand names,
0,Who should get Nifedipine and why is it prescribed ?,0000865-1,indication,
1,How should Nifedipine be used and what is the dosage ?,0000865-2,usage,
2,Are there safety concerns or special precautions about Nifedipine ?,0000865-4,precautions,
3,What special dietary instructions should I follow with Nifedipine ?,0000865-5,dietary,
4,What should I do if I forget a dose of Nifedipine ?,0000865-6,forget a dose,
5,What are the side effects or risks of Nifedipine ?,0000865-7,side effects,
6,What should I know about storage and disposal of Nifedipine ?,0000865-8,storage and disposal,
7,What to do in case of emergency or overdose of Nifedipine ?,0000865-9,emergency or overdose,
8,What other information should I know about Nifedipine ?,0000865-10,other information,
9,What are the brand names of Nifedipine ?,0000865-11,brand names,
0,What important warning or information should I know about Nilotinib ?,0000866-1,important warning,
1,Who should get Nilotinib and why is it prescribed ?,0000866-2,indication,
2,How should Nilotinib be used and what is the dosage ?,0000866-3,usage,
3,Are there safety concerns or special precautions about Nilotinib ?,0000866-5,precautions,
4,What special dietary instructions should I follow with Nilotinib ?,0000866-6,dietary,
5,What should I do if I forget a dose of Nilotinib ?,0000866-7,forget a dose,
6,What are the side effects or risks of Nilotinib ?,0000866-8,side effects,
7,What should I know about storage and disposal of Nilotinib ?,0000866-9,storage and disposal,
8,What to do in case of emergency or overdose of Nilotinib ?,0000866-10,emergency or overdose,
9,What other information should I know about Nilotinib ?,0000866-11,other information,
10,What are the brand names of Nilotinib ?,0000866-12,brand names,
0,What important warning or information should I know about Nilutamide ?,0000867-1,important warning,
1,Who should get Nilutamide and why is it prescribed ?,0000867-2,indication,
2,How should Nilutamide be used and what is the dosage ?,0000867-3,usage,
3,Are there safety concerns or special precautions about Nilutamide ?,0000867-5,precautions,
4,What special dietary instructions should I follow with Nilutamide ?,0000867-6,dietary,
5,What should I do if I forget a dose of Nilutamide ?,0000867-7,forget a dose,
6,What are the side effects or risks of Nilutamide ?,0000867-8,side effects,
7,What should I know about storage and disposal of Nilutamide ?,0000867-9,storage and disposal,
8,What to do in case of emergency or overdose of Nilutamide ?,0000867-10,emergency or overdose,
9,What other information should I know about Nilutamide ?,0000867-11,other information,
10,What are the brand names of Nilutamide ?,0000867-12,brand names,
0,What important warning or information should I know about Nimodipine ?,0000868-1,important warning,
1,Who should get Nimodipine and why is it prescribed ?,0000868-2,indication,
2,How should Nimodipine be used and what is the dosage ?,0000868-3,usage,
3,Are there safety concerns or special precautions about Nimodipine ?,0000868-5,precautions,
4,What special dietary instructions should I follow with Nimodipine ?,0000868-6,dietary,
5,What should I do if I forget a dose of Nimodipine ?,0000868-7,forget a dose,
6,What are the side effects or risks of Nimodipine ?,0000868-8,side effects,
7,What should I know about storage and disposal of Nimodipine ?,0000868-9,storage and disposal,
8,What to do in case of emergency or overdose of Nimodipine ?,0000868-10,emergency or overdose,
9,What other information should I know about Nimodipine ?,0000868-11,other information,
10,What are the brand names of Nimodipine ?,0000868-12,brand names,
0,Who should get Nintedanib and why is it prescribed ?,0000869-1,indication,
1,How should Nintedanib be used and what is the dosage ?,0000869-2,usage,
2,Are there safety concerns or special precautions about Nintedanib ?,0000869-4,precautions,
3,What special dietary instructions should I follow with Nintedanib ?,0000869-5,dietary,
4,What should I do if I forget a dose of Nintedanib ?,0000869-6,forget a dose,
5,What are the side effects or risks of Nintedanib ?,0000869-7,side effects,
6,What should I know about storage and disposal of Nintedanib ?,0000869-8,storage and disposal,
7,What to do in case of emergency or overdose of Nintedanib ?,0000869-9,emergency or overdose,
8,What other information should I know about Nintedanib ?,0000869-10,other information,
9,What are the brand names of Nintedanib ?,0000869-11,brand names,
0,Who should get Nisoldipine and why is it prescribed ?,0000870-1,indication,
1,How should Nisoldipine be used and what is the dosage ?,0000870-2,usage,
2,Are there safety concerns or special precautions about Nisoldipine ?,0000870-4,precautions,
3,What special dietary instructions should I follow with Nisoldipine ?,0000870-5,dietary,
4,What should I do if I forget a dose of Nisoldipine ?,0000870-6,forget a dose,
5,What are the side effects or risks of Nisoldipine ?,0000870-7,side effects,
6,What should I know about storage and disposal of Nisoldipine ?,0000870-8,storage and disposal,
7,What to do in case of emergency or overdose of Nisoldipine ?,0000870-9,emergency or overdose,
8,What other information should I know about Nisoldipine ?,0000870-10,other information,
9,What are the brand names of Nisoldipine ?,0000870-11,brand names,
0,Who should get Nitazoxanide and why is it prescribed ?,0000871-1,indication,
1,How should Nitazoxanide be used and what is the dosage ?,0000871-2,usage,
2,Are there safety concerns or special precautions about Nitazoxanide ?,0000871-4,precautions,
3,What special dietary instructions should I follow with Nitazoxanide ?,0000871-5,dietary,
4,What should I do if I forget a dose of Nitazoxanide ?,0000871-6,forget a dose,
5,What are the side effects or risks of Nitazoxanide ?,0000871-7,side effects,
6,What should I know about storage and disposal of Nitazoxanide ?,0000871-8,storage and disposal,
7,What to do in case of emergency or overdose of Nitazoxanide ?,0000871-9,emergency or overdose,
8,What other information should I know about Nitazoxanide ?,0000871-10,other information,
9,What are the brand names of Nitazoxanide ?,0000871-11,brand names,
0,Who should get Nitrofurantoin and why is it prescribed ?,0000872-1,indication,
1,How should Nitrofurantoin be used and what is the dosage ?,0000872-2,usage,
2,Are there safety concerns or special precautions about Nitrofurantoin ?,0000872-4,precautions,
3,What special dietary instructions should I follow with Nitrofurantoin ?,0000872-5,dietary,
4,What should I do if I forget a dose of Nitrofurantoin ?,0000872-6,forget a dose,
5,What are the side effects or risks of Nitrofurantoin ?,0000872-7,side effects,
6,What should I know about storage and disposal of Nitrofurantoin ?,0000872-8,storage and disposal,
7,What to do in case of emergency or overdose of Nitrofurantoin ?,0000872-9,emergency or overdose,
8,What other information should I know about Nitrofurantoin ?,0000872-10,other information,
9,What are the brand names of Nitrofurantoin ?,0000872-11,brand names,
0,Who should get Nitroglycerin Spray and why is it prescribed ?,0000873-1,indication,
1,How should Nitroglycerin Spray be used and what is the dosage ?,0000873-2,usage,
2,Are there safety concerns or special precautions about Nitroglycerin Spray ?,0000873-4,precautions,
3,What special dietary instructions should I follow with Nitroglycerin Spray ?,0000873-5,dietary,
